periode_data,wilayah,kecamatan,volume_sampah,total_sampah_residu,rata_rata
202406,KOTA ADM. JAKARTA PUSAT,Senen,541.27,540,18
202406,KOTA ADM. JAKARTA PUSAT,Sawah Besar,654.65,654,21.8
202406,KOTA ADM. JAKARTA PUSAT,Menteng,1028.44,1025,34.17
202406,KOTA ADM. JAKARTA PUSAT,Gambir,727.68,725.5,24.18
202406,KOTA ADM. JAKARTA UTARA,Cilincing,982.69,965,32.17
202406,KOTA ADM. JAKARTA UTARA,Kelapa Gading,380.84,375,12.5
202406,KOTA ADM. JAKARTA UTARA,Koja,597.77,584,19.47
202406,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1219.21,1202,40.07
202406,KOTA ADM. JAKARTA UTARA,Pademangan,694.02,679,22.63
202406,KOTA ADM. JAKARTA UTARA,Penjaringan,1973.67,1957,65.23
202406,KOTA ADM. JAKARTA BARAT,Kembangan,1445.01,1377,45.9
202406,KOTA ADM. JAKARTA BARAT,Palmerah,959.56,856,28.53
202406,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1265.1,1259,41.97
202406,KOTA ADM. JAKARTA BARAT,Tambora,631.88,615,20.5
202406,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,1114.19,905,30.17
202406,KOTA ADM. JAKARTA BARAT,Tamansari,771.68,733,24.43
202406,KOTA ADM. JAKARTA BARAT,Kalideres,1086.3,939,31.3
202406,KOTA ADM. JAKARTA BARAT,Cengkareng,1864.78,1532,51.07
202406,KOTA ADM. JAKARTA SELATAN,Jagakarsa,2773.88,2758,91.93
202406,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,587.39,550,18.33
202406,KOTA ADM. JAKARTA SELATAN,Pancoran,454.97,414,13.8
202406,KOTA ADM. JAKARTA SELATAN,Tebet,555.07,543,18.1
202406,KOTA ADM. JAKARTA SELATAN,Setiabudi,554.47,545.2,18.17
202406,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,600.96,566,18.87
202406,KOTA ADM. JAKARTA SELATAN,Cilandak,794.53,712,23.73
202406,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,799.93,796,26.53
202406,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,621.6,618,20.6
202406,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,595.2,592,19.73
202406,KOTA ADM. JAKARTA TIMUR,Ciracas,550.27,444,14.8
202406,KOTA ADM. JAKARTA TIMUR,Cipayung,361.39,263,8.77
202406,KOTA ADM. JAKARTA TIMUR,Makasar,655.66,544,18.13
202406,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,807.69,776,25.87
202406,KOTA ADM. JAKARTA TIMUR,Kramat Jati,923.89,897,29.9
202406,KOTA ADM. JAKARTA TIMUR,Jatinegara,756.74,498,16.6
202406,KOTA ADM. JAKARTA TIMUR,Matraman,518.61,513,17.1
202406,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1335.27,540,18
202406,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,793.99,788,26.27
202406,KOTA ADM. JAKARTA TIMUR,Cakung,1954.83,1822,60.73
202407,KOTA ADM. JAKARTA PUSAT,Tanah Abang,764.25,651,21
202407,KOTA ADM. JAKARTA PUSAT,Kemayoran,856.2,855,27.58
202407,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,382.3,381.5,12.31
202407,KOTA ADM. JAKARTA PUSAT,Johar Baru,636.35,636,20.52
202407,KOTA ADM. JAKARTA PUSAT,Senen,618.16,617,19.9
202407,KOTA ADM. JAKARTA PUSAT,Sawah Besar,570.68,570,18.39
